Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32579277,02/01/2016 01:36:00 AM,02/04/2016 10:37:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10458,,,,,BEDFORD PARK BOULEVARD,VALENTINE AVENUE,INTERSECTION,BRONX,,N/A,Closed,,,02/04/2016 10:37:00 AM,07 BRONX,BRONX,1015525,256752,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.871343985427906,-73.88691754299025,"(40.871343985427906, -73.88691754299025)"
32580720,02/01/2016 01:36:00 AM,02/02/2016 01:09:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10312,167 WOODROW ROAD,WOODROW ROAD,ILYSSA WAY,KENMORE ST,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,,02/02/2016 01:09:00 PM,03 STATEN ISLAND,STATEN ISLAND,934116,143571,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.560603307473166,-74.18042873441256,"(40.560603307473166, -74.18042873441256)"
32571895,02/01/2016 01:51:36 AM,02/01/2016 10:23:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11363,41-53 GLENWOOD STREET,GLENWOOD STREET,41 DRIVE,BOROUGH BOUNDARY,,,ADDRESS,Little Neck,,N/A,Closed,,,02/01/2016 10:23:00 AM,11 QUEENS,QUEENS,1057205,221291,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7737679411659,-73.73659944239746,"(40.7737679411659, -73.73659944239746)"
32580285,02/01/2016 02:07:00 AM,02/08/2016 03:25:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,HORACE HARDING EXPY,OCEANIA ST,INTERSECTION,,,N/A,Closed,,,02/08/2016 03:25:00 PM,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32575419,02/01/2016 02:32:08 AM,02/04/2016 12:06:14 PM,DOT,Department of Transportation,Sidewalk Condition,Newspaper Box Complaint,Sidewalk,11226,1501 FOSTER AVENUE,FOSTER AVENUE,EAST 15 STREET,NEWKIRK PLAZA,,,ADDRESS,BROOKLYN,,N/A,Closed,04/01/2016 02:32:08 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",02/04/2016 12:06:14 PM,14 BROOKLYN,BROOKLYN,994509,170294,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63408831989589,-73.96303795045536,"(40.63408831989589, -73.96303795045536)"
32570671,02/01/2016 02:43:01 AM,02/01/2016 09:40:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11223,87 AVENUE U,AVENUE U,WEST    9 STREET,WEST   10 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,,02/01/2016 09:40:00 AM,11 BROOKLYN,BROOKLYN,989503,156459,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59611849054307,-73.98108478091392,"(40.59611849054307, -73.98108478091392)"
32581170,02/01/2016 03:21:00 AM,02/02/2016 02:57:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,WILLIAMSBURG BRIDGE,WILLIAMSBURG BRIDGE,MANHATTAN BORDER,,,,BLOCKFACE,,,N/A,Closed,,,02/02/2016 02:57:00 PM,Unspecified BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32581434,02/01/2016 03:24:00 AM,02/01/2016 11:30:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,AMSTERDAM AVE,166 ST W,INTERSECTION,,,N/A,Closed,,,02/01/2016 11:30:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32575447,02/01/2016 03:25:00 AM,02/01/2016 01:44:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11209,,,,,MACKAY PLACE,NARROWS AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,,02/01/2016 01:44:00 PM,10 BROOKLYN,BROOKLYN,974691,171282,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63680095262616,-74.03444142632658,"(40.63680095262616, -74.03444142632658)"
32577440,02/01/2016 03:26:00 AM,02/03/2016 10:03:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10006,LIBERTY STREET,LIBERTY STREET,BROADWAY,CHURCH STREET,LIBERTY STREET,CHURCH STREET,INTERSECTION,NEW YORK,,N/A,Closed,,,02/03/2016 10:03:00 AM,01 MANHATTAN,MANHATTAN,981014,197835,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70968753652052,-74.01167217483717,"(40.70968753652052, -74.01167217483717)"
32577560,02/01/2016 03:37:00 AM,02/01/2016 04:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,,,,,3 AVE,184 ST E,INTERSECTION,,,N/A,Closed,,,02/01/2016 04:00:00 AM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32575033,02/01/2016 03:49:22 AM,02/01/2016 09:57:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11223,2076 WEST    7 STREET,WEST    7 STREET,AVENUE T,AVENUE U,,,ADDRESS,BROOKLYN,,N/A,Closed,,,02/01/2016 09:57:00 AM,11 BROOKLYN,BROOKLYN,990181,156807,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59707325253792,-73.97864310512378,"(40.59707325253792, -73.97864310512378)"
32580055,02/01/2016 03:59:57 AM,02/02/2016 07:25:35 AM,DOT,Department of Transportation,Street Condition,Cave-in,Street,10464,,,,,ORCHARD BEACH ROAD,SHORE ROAD,INTERSECTION,BRONX,,N/A,Closed,05/01/2016 03:59:57 AM,The Department of Transportation has completed the request or corrected the condition.,02/02/2016 07:25:35 AM,28 BRONX,BRONX,1036606,255776,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86856530116814,-73.81070181663476,"(40.86856530116814, -73.81070181663476)"
32574624,02/01/2016 04:05:00 AM,03/31/2016 09:45:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,ROCKAWAY BLVD,146 ST,ROCKAWAY BLVD,146 ST,INTERSECTION,,,N/A,Closed,,,03/31/2016 09:45:00 AM,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32580455,02/01/2016 04:15:00 AM,02/01/2016 04:35:00 AM,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,11237,,,,,CYPRESS AVENUE,STARR STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,,02/01/2016 04:35:00 AM,04 BROOKLYN,BROOKLYN,1006441,197324,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70825772693884,-73.91995929811479,"(40.70825772693884, -73.91995929811479)"
32576077,02/01/2016 04:48:00 AM,02/24/2016 11:15:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11378,,,,,LONG ISLAND EXPRESSWAY,48 STREET,INTERSECTION,Maspeth,,N/A,Closed,,,02/24/2016 11:15:00 AM,02 QUEENS,QUEENS,1006689,205981,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73201847042119,-73.91903592713803,"(40.73201847042119, -73.91903592713803)"
32575666,02/01/2016 05:12:00 AM,02/02/2016 03:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,,,,,,3 AVE,95 ST E,INTERSECTION,,,N/A,Closed,,,02/02/2016 03:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32579173,02/01/2016 05:25:36 AM,02/01/2016 03:18:44 PM,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10025,895 WEST END AVENUE,WEST END AVENUE,WEST 103 STREET,WEST 104 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,"The  Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists, the Agency may issue the responsible party a summons and/or correct the condition.",02/01/2016 03:18:44 PM,07 MANHATTAN,MANHATTAN,992652,230792,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80014270939644,-73.96965300454181,"(40.80014270939644, -73.96965300454181)"
32577388,02/01/2016 05:46:00 AM,02/02/2016 01:12:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10469,,,,,RADCLIFF AVENUE,ADEE AVENUE,INTERSECTION,BRONX,,N/A,Closed,,,02/02/2016 01:12:00 PM,11 BRONX,BRONX,1022854,256122,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86958581928827,-73.86042141061758,"(40.86958581928827, -73.86042141061758)"
32578910,02/01/2016 05:59:00 AM,04/04/2016 08:30:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10007,,,CHURCH ST,THOMAS ST,CHURCH STREET,THOMAS STREET,INTERSECTION,NEW YORK,,N/A,Closed,,,04/04/2016 08:30:00 AM,01 MANHATTAN,MANHATTAN,982400,200329,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7165333703795,-74.00667359125764,"(40.7165333703795, -74.00667359125764)"
32579878,02/01/2016 06:20:11 AM,02/01/2016 10:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10454,900 EAST  132 STREET,EAST  132 STREET,LOCUST AVENUE,ROSE FEISS BOULEVARD,,,ADDRESS,BRONX,,N/A,Closed,,,02/01/2016 10:00:00 AM,01 BRONX,BRONX,1008853,230282,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79871264173003,-73.9111388713711,"(40.79871264173003, -73.9111388713711)"
32576578,02/01/2016 06:36:00 AM,02/01/2016 10:15:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Veh Sgnl Mult Lamps,,,,,,,ROCKAWAY BLVD,146 ST,INTERSECTION,,,N/A,Closed,,,02/01/2016 10:15:00 AM,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
32575997,02/01/2016 06:38:49 AM,02/01/2016 11:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10460,CROSS BRONX EXPRESSWAY,CROSS BRONX EXPRESSWAY,CROSS BRONX EP NB EN HARROD AV,NOBLE AVENUE,,,BLOCKFACE,BRONX,,N/A,Closed,,,02/01/2016 11:30:00 AM,Unspecified BRONX,BRONX,1019769,243811,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83580877244697,-73.87164090239523,"(40.83580877244697, -73.87164090239523)"
32577808,02/01/2016 06:41:00 AM,02/01/2016 02:07:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11385,59-11 MADISON STREET,MADISON STREET,60 PL,FOREST AVE,MADISON ST,FOREST AVE,INTERSECTION,Ridgewood,,N/A,Closed,,,02/01/2016 02:07:00 PM,Unspecified QUEENS,QUEENS,1011428,196492,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70596017215836,-73.90197506322848,"(40.70596017215836, -73.90197506322848)"
32577924,02/01/2016 06:48:29 AM,02/02/2016 10:12:11 AM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Collapsed,Sidewalk,10455,700 BROOK AVENUE,BROOK AVENUE,BERGEN AVENUE,EAST 156 STREET,,,ADDRESS,BRONX,,N/A,Closed,02/04/2016 06:48:29 AM,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,02/02/2016 10:12:11 AM,01 BRONX,BRONX,1008459,237724,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81913994843365,-73.91253508141854,"(40.81913994843365, -73.91253508141854)"
32578695,02/01/2016 06:56:07 AM,02/02/2016 09:10:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10305,,,,,FR CAPODANNO BOULEVARD,SEAVIEW AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,,,02/02/2016 09:10:00 AM,02 STATEN ISLAND,STATEN ISLAND,962638,150323,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.579251607117456,-74.07780173780797,"(40.579251607117456, -74.07780173780797)"
32574619,02/01/2016 06:57:00 AM,02/02/2016 09:45:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10038,,,,,PARK ROW,BEEKMAN STREET,INTERSECTION,NEW YORK,,N/A,Closed,,,02/02/2016 09:45:00 AM,01 MANHATTAN,MANHATTAN,982313,198582,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71173825384143,-74.00698692775009,"(40.71173825384143, -74.00698692775009)"
32588460,02/01/2016 06:58:59 AM,02/02/2016 12:40:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11101,,,,,45 ROAD,VERNON BOULEVARD,INTERSECTION,Long Island City,,N/A,Closed,,,02/02/2016 12:40:00 AM,02 QUEENS,QUEENS,997417,211640,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74756968013598,-73.95247993675073,"(40.74756968013598, -73.95247993675073)"
